Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cabo Verde,CPV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,1.156171893,4.401991388,7.753421372,16.23543099,15.65496083,12.6165472,16.22453,17.03150606,11.45857212,9.078295135,14.73569021,18.85187143,12.35451615,14.33356484,11.15425159,7.68825813,10.52865047,17.00784403,16.28087589,11.07847963,8.174061976,11.87017534,7.269423516,7.9273514,9.573611099,6.429392957,4.977843513,4.250071208,5.625933755,5.44156361,4.744522317,6.544206789,5.766241498,5.630782013,7.492960589,6.677860772,6.907478916,6.849872286,6.752255383,14.20368407,12.28955722,13.25739437,16.05813996,
Costa Rica,CRI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,22.77428034,41.17867141,36.07967373,30.39991736,28.72505377,22.90914587,61.53199111,33.47978803,43.24229349,36.49317828,23.28990941,25.36497973,18.24997062,24.53148106,18.61124894,20.57541753,18.59111629,14.93255552,17.19439083,14.42581266,12.80853251,10.21155011,8.759343097,9.542534515,10.32707804,10.04222868,11.43942584,11.20012862,9.217082424,7.579227119,7.808331472,12.50673568,11.32877897,7.801100523,11.29491852,14.82170077,20.4690124,20.49194199,15.84480284,14.88486228,14.94810808,15.50669944,13.48974701,16.33935175,11.71267742,8.717443403,14.62999148,
Caribbean small states,CSS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.690490798,4.710109115,3.616219163,4.666565105,5.048643286,5.419845679,3.131669388,2.202800788,4.358481219,6.90657139,5.211296025,5.256922343,5.668764707,6.931979434,5.564394889,7.677729431,8.932078492,8.268295974,7.765888225,7.879536478,8.684219485,8.378944458,1.277379669,1.061815897,1.240376334,2.147563115,1.717335067,1.585671084,1.525283227,1.883921354,1.171050989,1.313988903,1.64139843,
Dominica,DMA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,2.490337295,2.806670031,5.633792087,10.98611872,11.20368653,8.488619575,11.86902908,8.569430194,9.538675829,6.633431012,6.436468038,6.054736874,7.501499533,7.544349889,6.342111284,5.636306339,7.83911329,6.986344975,6.894510799,6.700606845,11.24111531,7.969181002,8.680816977,9.415695175,9.790030045,9.78222967,10.31703116,9.430682998,10.41325315,6.878188754,7.154691067,9.600893497,9.596634941,7.875809777,12.04727184,11.50509985,14.92085934,22.62717435,16.70939394,26.98320585,19.80061725,22.52461476,24.39126187,
Denmark,DNK,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
