Country Code,year,indicator,estimate
MEX,1996,rl,-0.73
FSM,1996,rl,0.81
MDA,1996,rl,-0.12
MCO,1996,rl,0.81
MNG,1996,rl,0.2
MAR,1996,rl,0.22
MOZ,1996,rl,-0.81
MMR,1996,rl,-1.58
NAM,1996,rl,0.25
NRU,1996,rl,0.81
NPL,1996,rl,-0.01
NLD,1996,rl,1.7
NZL,1996,rl,1.86
NIC,1996,rl,-0.52
NER,1996,rl,-0.66
NGA,1996,rl,-1.29
MKD,1996,rl,-0.31
NOR,1996,rl,1.92
OMN,1996,rl,0.55
PAK,1996,rl,-0.63
PLW,1996,rl,0.81
PAN,1996,rl,-0.17
PNG,1996,rl,-0.62
PRY,1996,rl,-0.66
PER,1996,rl,-0.7
PHL,1996,rl,0.07
POL,1996,rl,0.77
PRT,1996,rl,1.29
PRI,1996,rl,0.96
QAT,1996,rl,-0.04
ROM,1996,rl,-0.02
RUS,1996,rl,-0.79
RWA,1996,rl,-1.5
WSM,1996,rl,0.95
SMR,1996,rl,0.81
SAU,1996,rl,0.11
SEN,1996,rl,-0.18
SRB,1996,rl,-1.26
SYC,1996,rl,0.6
SLE,1996,rl,-1.38
SGP,1996,rl,1.24
SVK,1996,rl,0.16
SVN,1996,rl,1.07
SLB,1996,rl,0.74
SOM,1996,rl,-2.14
ZAF,1996,rl,0.09
ESP,1996,rl,1.44
LKA,1996,rl,0.16
KNA,1996,rl,0.81
LCA,1996,rl,0.81
VCT,1996,rl,0.81
SDN,1996,rl,-1.71
SUR,1996,rl,-0.08
SWE,1996,rl,1.8
CHE,1996,rl,1.93
SYR,1996,rl,-0.55
STP,1996,rl,0.27
TWN,1996,rl,0.76
TJK,1996,rl,-1.65
TZA,1996,rl,-0.19
THA,1996,rl,0.54
TMP,1996,rl,-1.57
TGO,1996,rl,-0.73
TON,1996,rl,0.81
TTO,1996,rl,0.53
TUN,1996,rl,-0.3
TKM,1996,rl,-1.49
TUV,1996,rl,0.81
TUR,1996,rl,-0.14
UGA,1996,rl,-0.58
UKR,1996,rl,-0.82
ARE,1996,rl,0.69
GBR,1996,rl,1.63
USA,1996,rl,1.5
URY,1996,rl,0.56
UZB,1996,rl,-1.24
VUT,1996,rl,0.32
VEN,1996,rl,-0.75
VNM,1996,rl,-0.48
WBG,1996,rl,-0.04
YEM,1996,rl,-1.38
ZMB,1996,rl,-0.53
ZWE,1996,rl,-0.81
AFG,1996,rq,-2.09
ALB,1996,rq,-0.47
DZA,1996,rq,-0.91
ADO,1996,rq,1.27
AGO,1996,rq,-1.42
ATG,1996,rq,0.79
ARG,1996,rq,0.52
ARM,1996,rq,-0.28
AUS,1996,rq,1.37
AUT,1996,rq,1.66
AZE,1996,rq,-1.2
BHS,1996,rq,0.97
BHR,1996,rq,0.79
BGD,1996,rq,-0.93
BRB,1996,rq,1.29
BLR,1996,rq,-1.09
BEL,1996,rq,1.21
BLZ,1996,rq,0.14
BEN,1996,rq,-0.18
BMU,1996,rq,1.51
BTN,1996,rq,-0.41
BOL,1996,rq,0
BIH,1996,rq,-0.91
BWA,1996,rq,0.65
BRA,1996,rq,0.3
BRN,1996,rq,1.35
BGR,1996,rq,-0.18
BFA,1996,rq,-0.3
BDI,1996,rq,-1.64
KHM,1996,rq,-0.23
CMR,1996,rq,-1.12
CAN,1996,rq,1.49
CPV,1996,rq,-0.53
CYM,1996,rq,1.03
CAF,1996,rq,-0.89
TCD,1996,rq,-1.23
CHL,1996,rq,1.54
CHN,1996,rq,-0.27
COL,1996,rq,-0.11
COM,1996,rq,-1.13
ZAR,1996,rq,-1.76
COG,1996,rq,-1.23
CRI,1996,rq,0.55
HRV,1996,rq,-0.17
CUB,1996,rq,-1.1
CYP,1996,rq,1.26
CZE,1996,rq,1.07
CIV,1996,rq,-0.4
DNK,1996,rq,1.78
DJI,1996,rq,-1
